0.21972,0.20288,-0.51212,0.6185,-0.10587,0.1645,0.38883,0.037253,0.1568,-0.11531,0.19243
-0.26784,0.25613,-0.40407,-0.53584,-0.28284,0.53835,0.13881,-0.034611,-0.084634,0.036581,-0.11603
-0.35773,0.25975,0.19539,-0.059501,0.26143,0.070553,0.10053,0.27249,0.55671,0.34016,0.42371
0.42383,-0.068634,-0.030598,-0.054202,0.69915,0.44885,0.051395,-0.040852,-0.14098,0.28423,-0.12858
-0.36649,0.21649,0.17028,0.43111,-0.02003,0.16064,-0.08598,0.46317,-0.47503,0.20802,-0.29482
0.18064,0.41938,0.34467,-0.1239,-0.020844,-0.22816,0.60859,-0.051884,0.10853,-0.018716,-0.46867
0.058633,0.52575,0.1242,0.22584,-0.070392,0.15955,-0.52987,-0.52822,0.19865,0.073879,-0.13639
0.3986,0.17836,0.09908,-0.14142,-0.067125,0.18519,-0.31517,0.60418,0.22983,-0.46785,-0.067934
0.28407,0.36463,0.23471,-0.14087,-0.12787,-0.031472,0.07129,-0.032663,-0.52715,0.037225,0.63926
0.39679,-0.20154,0.032495,-0.004123,-0.52326,0.02493,-0.058556,0.1584,0.15291,0.68458,-0.076787
-0.07055,-0.34134,0.55332,0.17828,-0.22626,0.5809,0.22452,-0.18456,0.086392,-0.22556,0.095431
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
49.6695,,,,,,,,,,
80.5175,,,,,,,,,,
97.3926,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,
100,,,,,,,,,,